District,Hotels,Restaurants,Shopping_Places,Religious_Attractions,Cultural_Attractions,Educational_Places,Fun_And_Family,Hotel_Budget_Range,Restaurant_Budget_Range,Hotel_Budget,Restaurant_Budget
Gampaha,Sea Shine Beach Hotel,Big Fish Restaurant,Cool Kidz - Gampaha,Thanthirimale Rajamaha Viharaya,Dodangoda Purana Raja Maha Viharaya,De Mazenod College - Kandana,Gampaha Sunday Fair,180 - 250,30 - 50,215,40
Gampaha,Villa Sunbird,Dining by the Pool,House of Fashions - Gampaha,Siyane Korale Welivita Rajamaha Viharaya,Meerigama Raja Maha Viharaya,Ave Maria Convent - Negombo,Biyagama Urban Wetland Park,170 - 220,25 - 40,195,32.5
Gampaha,Camelot Beach Hotel,Curry Leaf Restaurant,Cool City - Gampaha,Naiwala Rajamaha Viharaya,Ganegama Raja Maha Viharaya,St. Mary's College - Negombo,Oruthota Chalet,200 - 300,20 - 35,250,27.5
Gampaha,Riverdale Hotel,Yaal,Kandy Selections - Gampaha,Siyane Korale Heenkenda Viharaya,Alawala Rajamaha Viharaya,St. Joseph's College - Negombo,Rajasinghe Viharaya,60 - 90,15 - 30,75,22.5
Gampaha,Villa Shade,The Lagoon,Cool Trends - Gampaha,Orubandiwewa Rajamaha Viharaya,Kurukudegama Raja Maha Viharaya,Maris Stella College - Negombo,Ja-Ela Urban Wetland Park,110 - 160,30 - 50,135,40
Gampaha,Suriya Arana,Sizzle Restaurant,Beverly Street - Gampaha,Siyane Korale Kandalama Rajamaha Viharaya,Galawila Raja Maha Viharaya,St. Anne's College - Kurana,Minuwangoda Urban Wetland Park,60 - 90,25 - 45,75,35
Gampaha,Jetwing Sea,Lavinia Breeze,Rainbow Fashion - Gampaha,Siyane Korale Horana Viharaya,Weeragula Sri Sudharshanarama Temple,"Mahinda Rajapaksha College - Pitipana, Homagama (Gampaha Branch)",Nikawatta Forest Reserve,150 - 200,20 - 35,175,27.5
Gampaha,Blue Note House,Tuskers Restaurant,Glitz Kids - Gampaha,Siyane Korale Galvihara Viharaya,Miguruwela Raja Maha Viharaya,St. Anne's Balika Maha Vidyalaya - Kurana,Pallewela Handunugoda Grounds,100 - 150,30 - 50,125,40
Gampaha,Terrace Green Hotel,The Ritz Restaurant,Fashions & Fashions - Gampaha,Kotavehera Rajamaha Viharaya,Medde Neligala Rajamaha Viharaya,St. Mary's Balika Maha Vidyalaya - Negombo,Seeduwa Urban Wetland Park,150 - 250,40 - 60,200,50
Gampaha,Villa Tropicana,La Langousterie,M.B. Ramzan Sons - Gampaha,Siyane Korale Parakaduwa Viharaya,Pugoda Sri Bodhi Rajarama Temple,Gampaha Zahira College,Sapugoda Viharaya,100 - 150,35 - 55,125,45
Gampaha,Pledge 3,The Dining Room,Happy Mart - Gampaha,Dedigama Rajamaha Viharaya,Buthpitiya Raja Maha Viharaya,St. Joseph's Balika Maha Vidyalaya - Negombo,R. Premadasa International Cricket Stadium (practice matches),120 - 170,40 - 60,145,50
Gampaha,Jetwing Lagoon,The Prawn Farm,Fame City - Gampaha,Siyane Korale Yakkala Viharaya,Kotugoda Purana Viharaya,Loyola College - Negombo,Miriswatta Urban Wetland Park,80 - 120,35 - 55,100,45
Gampaha,The Cottage,Lagoon View Seafood Restaurant,Laksala Gampaha,Siyane Korale Pituwala Rajamaha Viharaya,Naththandiya Nagadipa Purana Raja Maha Viharaya,Newstead Girls' College - Negombo,"Raja Maha Vihara Temple, Pilapitiya",140 - 200,30 - 50,170,40
Gampaha,Thilanka Resort & Spa,The Fat Crab,Dinapala Group - Gampaha,Siyane Korale Kadawala Viharaya,Pahala Wewa Rajamaha Viharaya,Good Shepherd Convent - Negombo,Pethiyagoda Urban Wetland Park,130 - 180,20 - 40,155,30
Gampaha,Blue Lanka Tours & Beach Holidays,Negombo Kitchen,Swarnamahal - Gampaha,Siyane Korale Dombagasdeniya Viharaya,Thihagoda Rajamaha Viharaya,St. Joseph's College - Negombo,Ragama General Hospital Grounds,50 - 80,15 - 30,65,22.5
Gampaha,Moya Gale,Lords Restaurant Complex,Sri Lanka Saree Shop - Gampaha,Siyane Korale Muthukuda Viharaya,"Bellanwila Raja Maha Viharaya, Pilikuttuwa",Holy Cross College - Gampaha,Siyane Korale Temple,40 - 70,20 - 40,55,30
Gampaha,The Tamarind Tree Hotel,Ranbath Restaurant,Fashions Forever - Gampaha,Siyane Korale Weragala Viharaya,Veyangoda Wimalagnana Thero Dhamma School,Central College - Gampaha,Oruthota Chalet,50 - 80,25 - 10,65,17.5
Gampaha,The Beach All Suite Hotel,Seafood Cove,Senani Textile - Gampaha,Siyane Korale Mulleriyawa Viharaya,Wilgoda Rajamaha Viharaya,Christ King College - Kurana,De Mazenod College Grounds,100 - 150,30 - 50,125,40
Gampaha,Villa Araliya,Dolce Vita Restaurant,Romafour Kids - Gampaha,Siyane Korale Katuwawala Viharaya,Nainamadama Sri Bodhiya,St. Mary's Convent - Kurana,Kamburadeniya Rajamaha Viharaya,180 - 250,25 - 45,215,35
Gampaha,Amagi Aria,Little Hut,Cool Planet Men's Wear - Gampaha,Siyane Korale Deduru Oya Rajamaha Viharaya,"Thilaka Raja Maha Viharaya, Ganemulla",Nalanda College - Minuwangoda,Delgoda Urban Wetland Park,180 - 250,25 - 10,215,17.5
Gampaha,St. Lachlan Hotel & Suites,Big Fish Restaurant,Spring & Summer - Gampaha,Siyane Korale Abhayarama Temple,Alapaladeniya Raja Maha Viharaya,De Mazenod College - Kandana,Pallewela Handunugoda Grounds,170 - 220,30 - 50,195,40
Gampaha,Heritance Negombo,Dining by the Pool,Ranjana's Textile - Gampaha,Siyane Korale Dunuwila Rajamaha Viharaya,Thelwatta Temple,Christ King College - Kurana,Maha Karagahamuna Viharaya,200 - 300,25 - 40,250,32.5
Gampaha,The Gateway Hotel Airport Garden Colombo,Curry Leaf Restaurant,DSI Showroom – Gampaha,Siyane Korale Bandaragama Viharaya,Delwala Rajamaha Viharaya,St. Mary's College - Negombo,Oruthota Chalet,60 - 90,20 - 35,75,27.5
Gampaha,The Gateway Hotel Airport Garden Colombo,Yaal,Ranjana's Textile - Gampaha,Siyane Korale Dombagasdeniya Viharaya,"Dambulla Viharaya, Ganemulla",Sirimavo Bandaranaike Vidyalaya - Gampaha,Katunayake Urban Wetland Park,110 - 160,15 - 30,135,22.5
Gampaha,The Beach All Suite Hotel,The Lagoon,Swarnamahal - Gampaha,Siyane Korale Welivita Rajamaha Viharaya,"Dharmapala Rajamaha Viharaya, Yakkala",Royal Institute - Gampaha,Gampaha Badminton Club,60 - 90,30 - 50,75,40
Gampaha,Jetwing Sea,Sizzle Restaurant,Lanka Saree Centre - Gampaha,Siyane Korale Heenatiyana Rajamaha Viharaya,Dunumadalawa Rajamaha Viharaya,Lyceum International School - Nugegoda (Gampaha Branch),Yakkala Urban Wetland Park,150 - 200,25 - 45,175,35
Gampaha,The Tamarind Tree Hotel,Lavinia Breeze,Cool Planet - Gampaha,Siyane Korale Thalagolla Viharaya,Pahala Wewa Rajamaha Viharaya,Lyceum International School - Wattala (Gampaha Branch),Ja-Ela Urban Wetland Park,100 - 150,20 - 35,125,27.5
Gampaha,Villa Sunbird,Tuskers Restaurant,Cool Kidz - Gampaha,Siyane Korale Kegalle Rajamaha Viharaya,Dalupotha Raja Maha Viharaya,OKI International School - Wattala,Attanagalla Vihara,150 - 250,30 - 50,200,40
Gampaha,Rani Beach Resort,The Ritz Restaurant,Cool City - Gampaha,Siyane Korale Ranawana Rajamaha Viharaya,Attanagalla Bodhirukkharamaya,Lyceum International School - Panadura (Gampaha Branch),Guruge Nature Park,100 - 150,40 - 60,125,50
Gampaha,Blue Lanka Tours & Beach Holidays,La Langousterie,Cool Trends - Gampaha,Siyane Korale Beminiwatte Rajamaha Viharaya,"Bhodirukkaramaya, Katana",Royal Institute - Kadawatha (Gampaha Branch),"Raja Maha Vihara Temple, Pilapitiya",120 - 170,35 - 55,145,45
Gampaha,Sea Shine Beach Hotel,The Dining Room,Cool Planet - Gampaha,Siyane Korale Narahenpita Rajamaha Viharaya,Ganemulla Sri Bodhirukkarama Temple,Lyceum International School - Ratnapura (Gampaha Branch),Lellama Fun Park,80 - 120,40 - 60,100,50
Gampaha,Villa Shade,The Prawn Farm,Beverly Street - Gampaha,Siyane Korale Elakanda Viharaya,Dunumadalawa Rajamaha Viharaya,Asian International School - Kurunegala (Gampaha Branch),Siyane Korale Temple,140 - 200,35 - 55,170,45
Gampaha,Pledge 3,Lagoon View Seafood Restaurant,Rainbow Fashion - Gampaha,Siyane Korale Meegoda Viharaya,Dambadeniya Rajamaha Viharaya,D.S. Senanayake College - Gampaha,Ragama Medical Faculty Playground,130 - 180,30 - 50,155,40
Gampaha,Terrace Green Hotel,The Fat Crab,Glitz Kids - Gampaha,Siyane Korale Nungamugoda Rajamaha Viharaya,Dombagoda Purana Raja Maha Viharaya,Sri Dharmaloka College - Kelaniya,Nikawatta Forest Reserve,200 - 300,20 - 40,250,30
Gampaha,Riverdale Hotel,Negombo Kitchen,Fashion & Fashion - Gampaha,Siyane Korale Padiyathalawa Viharaya,Gorakapola Rajamaha Viharaya,St. Mary's College - Kegalle (Gampaha Branch),Maha Karagahamuna Viharaya,150 - 250,15 - 30,200,22.5
Gampaha,Amagi Aria,Lords Restaurant Complex,MB Ramzan Sons - Gampaha,Siyane Korale Bulugahagoda Viharaya,Debarawewa Rajamaha Viharaya,St. Mary's College - Mathugama (Gampaha Branch),Oruthota Chalet,150 - 250,20 - 40,200,30
Gampaha,Suriya Arana,Ranbath Restaurant,Happy Mart - Gampaha,Siyane Korale Kirillawala Viharaya,Delduwa Raja Maha Viharaya,St. Xavier's College - Gampaha,Rajasinghe Viharaya,100 - 150,25 - 10,125,17.5
Gampaha,Camelot Beach Hotel,Seafood Cove,Fame City - Gampaha,Siyane Korale Gannoruwa Viharaya,Urapola Purana Viharaya,St. Sebastian's College - Kandana,Kamburadeniya Rajamaha Viharaya,100 - 150,30 - 50,125,40
Gampaha,Thilanka Resort & Spa,Dolce Vita Restaurant,Laksala - Gampaha,Siyane Korale Ihala Katharagama Viharaya,Divulapitiya Bodhirajarama Temple,St. Joseph's College - Negombo,Yakkala Urban Wetland Park,90 - 130,25 - 45,110,35
Gampaha,Villa Tropicana,Little Hut,Dinapala Group - Gampaha,Siyane Korale Rajagiriya Viharaya,Hapugoda Sri Jayasumanaramaya,Christ King College - Kurana,Guruge Nature Park,50 - 80,25 - 10,65,17.5
Gampaha,The Cottage,Big Fish Restaurant,Senani Textile - Gampaha,Siyane Korale Panadura Viharaya,Hapugoda Purana Viharaya,Lyceum International School - Ratnapura (Gampaha Branch),Siyane Korale Temple,40 - 70,30 - 50,55,40
Gampaha,Jetwing Lagoon,Dining by the Pool,Romafour Kids - Gampaha,Siyane Korale Nawagamuwa Viharaya,Horagolla Rajamaha Viharaya,Holy Cross College - Gampaha,Nikawatta Forest Reserve,50 - 80,25 - 40,65,32.5
Gampaha,Blue Note House,Curry Leaf Restaurant,Cool Planet Men's Wear - Gampaha,Siyane Korale Maaligawatta Viharaya,Hunumulla Rajamaha Viharaya,St. Anne's College - Kurana,"Raja Maha Vihara Temple, Pilapitiya",100 - 150,20 - 35,125,27.5
Gampaha,Moya Gale,Yaal,Spring & Summer - Gampaha,Siyane Korale Habarakada Viharaya,Horagolla Kethumathi Rajamaha Viharaya,Horizon College International - Kaduwela,Lellama Fun Park,180 - 250,15 - 30,215,22.5
Gampaha,The Gateway Hotel Airport Garden Colombo,The Lagoon,Cool Planet Women's Wear - Gampaha,Siyane Korale Madola Viharaya,Horagolla Rajamaha Viharaya,Holy Cross College - Gampaha,Delgoda Urban Wetland Park,180 - 250,30 - 50,215,40
Gampaha,Heritance Negombo,Sizzle Restaurant,Ranjana's Textile - Gampaha,Siyane Korale Waturugama Viharaya,Ittapana Purana Raja Maha Viharaya,Holy Family Convent - Gampaha,Attanagalla Vihara,170 - 220,25 - 45,195,35
Gampaha,St. Lachlan Hotel & Suites,Lavinia Breeze,Swarnamahal - Gampaha,Siyane Korale Godagama Viharaya,Karagampitiya Viharaya,St. Anthony's College - Wattala,Ja-Ela Urban Wetland Park,200 - 300,20 - 35,250,27.5
Gampaha,Jetwing Sea,Tuskers Restaurant,Lanka Saree Centre - Gampaha,Siyane Korale Danture Rajamaha Viharaya,Kirindiwela Rajamaha Viharaya,Asian International School - Kurunegala (Gampaha Branch),Kamburadeniya Rajamaha Viharaya,60 - 90,30 - 50,75,40
Gampaha,Camelot Beach Hotel,The Ritz Restaurant,Cool Planet - Gampaha,Siyane Korale Gorakana Viharaya,Kopiwatta Purana Raja Maha Viharaya,Sirimavo Bandaranaike Vidyalaya - Gampaha,Yakkala Urban Wetland Park,110 - 160,40 - 60,135,50
Gampaha,Sea Shine Beach Hotel,La Langousterie,Cool Kidz - Gampaha,Siyane Korale Weyangoda Viharaya,Koswatta Rajamaha Viharaya,Sri Dharmaloka College - Kelaniya,Guruge Nature Park,60 - 90,35 - 55,75,45
Gampaha,Villa Sunbird,The Dining Room,Cool City - Gampaha,Siyane Korale Angunukolapelessa Viharaya,Kotugoda Purana Viharaya,St. Anne's College - Kurana,Lellama Fun Park,150 - 200,40 - 60,175,50
Gampaha,The Tamarind Tree Hotel,The Prawn Farm,Cool Trends - Gampaha,Siyane Korale Arachchikattuwa Viharaya,Maggona Rajamaha Viharaya,St. Joseph's College - Negombo,Oruthota Chalet,100 - 150,35 - 55,125,45
Gampaha,Terrace Green Hotel,Lagoon View Seafood Restaurant,Beverly Street - Gampaha,Siyane Korale Dankotuwa Viharaya,Mahara Rajamaha Viharaya,D.S. Senanayake College - Gampaha,"Raja Maha Vihara Temple, Pilapitiya",150 - 250,30 - 50,200,40
Gampaha,Rani Beach Resort,The Fat Crab,Rainbow Fashion - Gampaha,Siyane Korale Minuwangoda Viharaya,Maththegoda Rajamaha Viharaya,St. Mary's College - Kegalle (Gampaha Branch),Maha Karagahamuna Viharaya,100 - 150,20 - 40,125,30
Gampaha,Villa Araliya,Negombo Kitchen,Glitz Kids - Gampaha,Siyane Korale Pinnawala Viharaya,Mathugama Purana Raja Maha Viharaya,St. Mary's College - Mathugama (Gampaha Branch),Nikawatta Forest Reserve,120 - 170,15 - 30,145,22.5
Gampaha,Blue Lanka Tours & Beach Holidays,Lords Restaurant Complex,Fashion & Fashion - Gampaha,Siyane Korale Batugampola Viharaya,Meegahawatta Purana Viharaya,St. Xavier's College - Gampaha,Siyane Korale Temple,80 - 120,20 - 40,100,30
Gampaha,Pledge 3,Ranbath Restaurant,MB Ramzan Sons - Gampaha,Siyane Korale Pamunugama Viharaya,Meegahawatte Purana Raja Maha Viharaya,St. Sebastian's College - Kandana,Ragama Medical Faculty Playground,140 - 200,25 - 10,170,17.5
Gampaha,Villa Shade,Seafood Cove,Happy Mart - Gampaha,Siyane Korale Mihintale Rajamaha Viharaya,Miguruwela Raja Maha Viharaya,St. Joseph's College - Negombo,Attanagalla Vihara,130 - 180,30 - 50,155,40
Gampaha,Thilanka Resort & Spa,Dolce Vita Restaurant,Fame City - Gampaha,Siyane Korale Pallewela Viharaya,"Mihidu Seya, Ganemulla",Christ King College - Kurana,Ja-Ela Urban Wetland Park,100 - 150,25 - 45,125,35
Gampaha,Riverdale Hotel,Little Hut,Laksala - Gampaha,Siyane Korale Katunayake Viharaya,Mirigama Rajamaha Viharaya,Lyceum International School - Ratnapura (Gampaha Branch),Guruge Nature Park,180 - 250,25 - 10,215,17.5
Gampaha,The Beach All Suite Hotel,Big Fish Restaurant,Dinapala Group - Gampaha,Siyane Korale Kandewatta Viharaya,Miriswatta Purana Raja Maha Viharaya,Holy Cross College - Gampaha,Lellama Fun Park,180 - 250,30 - 50,215,40
Gampaha,Suriya Arana,Dining by the Pool,Senani Textile - Gampaha,Siyane Korale Yakwila Viharaya,Muddaragama Purana Raja Maha Viharaya,Holy Family Convent - Gampaha,"Raja Maha Vihara Temple, Pilapitiya",170 - 220,25 - 40,195,32.5
Gampaha,Jetwing Lagoon,Curry Leaf Restaurant,Romafour Kids - Gampaha,Siyane Korale Ruwanwella Viharaya,Mugurupana Purana Raja Maha Viharaya,St. Anthony's College - Wattala,Maha Karagahamuna Viharaya,200 - 300,20 - 35,250,27.5
Gampaha,Villa Tropicana,Yaal,Cool Planet Men's Wear - Gampaha,Siyane Korale Welivitiye Rajamaha Viharaya,Muththettugoda Purana Raja Maha Viharaya,Asian International School - Kurunegala (Gampaha Branch),Siyane Korale Temple,60 - 90,15 - 30,75,22.5
Gampaha,Blue Note House,The Lagoon,Spring & Summer - Gampaha,Siyane Korale Dombagasdeniya Viharaya,Nagoda Purana Raja Maha Viharaya,Sirimavo Bandaranaike Vidyalaya - Gampaha,Nikawatta Forest Reserve,110 - 160,30 - 50,135,40
Gampaha,Moya Gale,Sizzle Restaurant,Cool Planet Women's Wear - Gampaha,Siyane Korale Ambepussa Viharaya,Nainamadama Rajamaha Viharaya,Sri Dharmaloka College - Kelaniya,Guruge Nature Park,60 - 90,25 - 45,75,35
Gampaha,The Cottage,Lavinia Breeze,Ranjana's Textile - Gampaha,Siyane Korale Mudungoda Viharaya,Nalluruwa Sri Bodhirukkarama Temple,St. Anne's College - Kurana,"Raja Maha Vihara Temple, Pilapitiya",150 - 200,20 - 35,175,27.5
Gampaha,The Gateway Hotel Airport Garden Colombo,Tuskers Restaurant,Swarnamahal - Gampaha,Siyane Korale Rambukkana Viharaya,Pahala Biyanwila Rajamaha Viharaya,St. Joseph's College - Negombo,Lellama Fun Park,100 - 150,30 - 50,125,40
Gampaha,Heritance Negombo,The Ritz Restaurant,Lanka Saree Centre - Gampaha,Siyane Korale Pamunugama Viharaya,Pahala Delwala Purana Raja Maha Viharaya,D.S. Senanayake College - Gampaha,Maha Karagahamuna Viharaya,150 - 250,40 - 60,200,50
Gampaha,Camelot Beach Hotel,La Langousterie,Cool Planet - Gampaha,Siyane Korale Oththegama Viharaya,Pahala Kalagedihena Raja Maha Viharaya,St. Mary's College - Kegalle (Gampaha Branch),Siyane Korale Temple,100 - 150,35 - 55,125,45
Gampaha,St. Lachlan Hotel & Suites,The Dining Room,Cool Kidz - Gampaha,Siyane Korale Bulugahagoda Viharaya,Pahala Thulhiriya Rajamaha Viharaya,St. Mary's College - Mathugama (Gampaha Branch),Nikawatta Forest Reserve,120 - 170,40 - 60,145,50
Gampaha,Sea Shine Beach Hotel,The Prawn Farm,Cool City - Gampaha,Siyane Korale Dagonna Viharaya,Pahala Wewa Rajamaha Viharaya,St. Xavier's College - Gampaha,Guruge Nature Park,80 - 120,35 - 55,100,45
Gampaha,Amagi Aria,Lagoon View Seafood Restaurant,Cool Trends - Gampaha,Siyane Korale Makola Viharaya,Pamunugama Rajamaha Viharaya,St. Sebastian's College - Kandana,"Raja Maha Vihara Temple, Pilapitiya",140 - 200,30 - 50,170,40
Kalutara,Tangerine Beach Hotel,The Mangrove,Kalutara Urban Council Market,Kalutara Bodhiya,Richmond Castle,University of Moratuwa - Katubedda,Richmond Castle,70 - 120,30 - 10,95,20
Kalutara,Citrus Waskaduwa,Poco Loco Beach Bar & Restaurant,Kalutara North Market,Kalutara Chaitya,Richmond Castle Park,Sri Palee Campus - Horana,Kalutara Beach,90 - 150,15 - 35,120,25
Kalutara,The Sands by Aitken Spence Hotels,Shesha Beach Restaurant & Pub,Kalutara South Market,Richmond Castle,Kalutara Chaitya,Sri Lanka Institute of Information Technology (SLIIT) - Malabe,Kalutara Bodhiya,80 - 130,20 - 40,105,30
Kalutara,Anantara Kalutara Resort,Royal Treat Beach Restaurant,Kalutara Municipal Market,Kalutara Temple,Kalutara Bodhiya,University of Colombo - Kalutara Study Centre,Kalutara Temple,150 - 300,15 - 35,225,25
Kalutara,AVANI Kalutara Resort,The Lantern Restaurant,Kalutara New Market,Kalutara Vihara,Kalutara Temple,Horizon Campus - Kalutara,Thudugala Ella Falls,120 - 250,20 - 40,185,30
Kalutara,Mermaid Hotel & Club,Blue Lagoon Beach Restaurant,Cargills Food City - Kalutara,Kalutara Bodhi Maha Viharaya,Kalutara Vihara,Gateway College - Kalutara,Calido Beach,60 - 100,15 - 35,80,25
Kalutara,Royal Palms Beach Hotel,Neptune Beach Restaurant,Arpico Supercentre - Kalutara,Kalutara Rajamaha Viharaya,Kalutara Gangarama Temple,Royal Institute - Kalutara,"Holy Cross Church, Kalutara",80 - 140,15 - 35,110,25
Kalutara,Hibiscus Beach Hotel,Amal Villa Restaurant,Keells Super - Kalutara,Kalutara Gangarama Temple,Kalutara Galpatha Raja Maha Vihara,Swarnapali Girls' College - Horana,Kalutara Bodiya Road,70 - 120,30 - 10,95,20
Kalutara,Taprobana Wadduwa,Banana Leaf Restaurant,Laugfs Supermarket - Kalutara,Kalutara Galpatha Raja Maha Vihara,Kalutara Galapatha Viharaya,Taxila Central College - Horana,The Foundation Of Goodness - Seenigama Centre,100 - 180,15 - 35,140,25
Kalutara,The Blue Water,Lighthouse Restaurant,Sathosa - Kalutara,Kalutara Galapatha Viharaya,Kalutara Bodhi Maha Viharaya,Sumangala Balika Vidyalaya - Panadura,"Richmond Castle, Kalutara",100 - 200,20 - 40,150,30
Kalutara,Shinagawa Beach by Asia Leisure,Spice Lounge Restaurant,Fashion Bug - Kalutara,Kalutara Bodhiya,Kalutara Rajamaha Viharaya,Tissa Central College - Kalutara,Galboda Falls,120 - 250,20 - 40,185,30
Kalutara,Villa Ocean View,The Palms Restaurant,Cool Planet - Kalutara,Galpottawala Raja Maha Vihara,Kalutara Gangarama Viharaya,Thakshila College - Horana,The Fibre Gallery - Sri Lanka,60 - 100,20 - 40,80,30
Kalutara,Hibiscus Villa,Beach Wadiya Restaurant,Cool Kidz - Kalutara,Kalutara Vidyalaya Buddhist Temple,Kalutara Sudharshanarama Temple,Mahinda Rajapaksa College - Matugama,Galathara Temple,70 - 120,15 - 35,95,25
Kalutara,The Palms Hotel,The Verandah Restaurant,No Limit - Kalutara,Kalutara Sri Selvin Amman Kovil,Kalutara Pothgul Rajamaha Viharaya,Taxila Central College - Horana,Kalutara District General Hospital Playground,80 - 140,20 - 40,110,30
Kalutara,Siddhalepa Ayurveda Health Resort,Avani Kalutara Resort - Mangrove Restaurant,ODEL - Kalutara,Kalutara Sri Dharmapala College Temple,Thanthirimale Rajamaha Viharaya,Vishaka Girls' High School - Bandaragama,Kalu Ganga Dam,150 - 300,30 - 50,225,40
